Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.40756661752577095,0.25526547218807244,-0.004026059719694606,0.016293581685161023,0.16960021946639622,0.07624064100811878,-0.13905480899710992,-0.3019468563184254,9
I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,0,1,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.186, 0.336]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.40756661752577095,0.25526547218807244,-0.24099852216839776,-0.06606226860500623,-0.2138333810828158,0.2986289051456954,0.025678701956993875,0.008608540048318068,9
M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.40756661752577095,0.35625788482851856,0.7068913276264143,0.37621914961996605,0.8333215397153245,0.3167830491569262,-0.09608084961777845,-0.3019468563184254,9
M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.40756661752577095,0.35625788482851856,0.11446017150465632,0.019343798362574514,0.2323846686791325,0.10801039302777261,-0.15337946212355374,-0.3019468563184254,9
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.4492793780211482,0.45725029746896473,0.2329464027290079,0.5622823669421961,0.5081877848636533,0.2986289051456954,0.16892523322143213,-0.6125022526851688,9
M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",0.4492793780211482,0.45725029746896473,1.2993224837481714,2.077223316724286,2.6092245317327265,2.209352562327732,1.4294947083484877,-0.3019468563184254,9
M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.4492793780211482,0.35625788482851856,-0.12251229094404618,-0.04776096854052481,0.0642120368593028,0.08077917701092648,-0.15337946212355374,-0.3019468563184254,9
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.4492793780211482,0.4067540911487416,-0.004026059719694606,0.25217700473847965,0.5507915182580102,-0.009991543045227362,0.08297731446276918,-0.3019468563184254,9
M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.13, 0.234]","(0.999, 8.0]",0.4492793780211482,0.4067540911487416,0.11446017150465632,0.335549593921118,0.8243523326849336,0.13524160904461877,-0.08533735977294558,-0.6125022526851688,9
F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.4492793780211482,0.4067540911487416,0.3514326339533595,0.18812245451279405,0.09784656322326878,0.5754796013169643,0.16892523322143213,-0.3019468563184254,9
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.4909921385165255,0.5077465037891877,0.11446017150465632,0.19523962676009235,0.5149146901364465,-0.0009144710396119781,-0.04594456367522526,-0.3019468563184254,9
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.4909921385165255,0.5582427101094108,0.46991886517771103,0.23997613802882523,0.4319495251053307,0.4847088812608105,0.16892523322143213,-0.9230576490519122,9
M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.6161304200026574,0.45725029746896473,0.7068913276264143,0.7198768952752321,1.492558256449057,0.5164786332804644,-0.010132930859115692,-0.6125022526851688,9
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(0.999, 8.0]",0.6161304200026574,0.5582427101094108,0.2329464027290079,0.5388973724153584,0.8176254274121402,0.7207127534068105,0.061490334773103436,-0.6125022526851688,9
M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(8.0, 9.0]",0.6578431804980347,0.6592351227498564,-0.004026059719694606,0.5693995391894943,0.8602291608064974,0.6753273933787336,0.23338617229042935,-0.3019468563184254,9
F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(8.0, 9.0]",0.6578431804980347,0.6592351227498564,0.5884050964020626,0.44434065541553674,0.31310753195265084,0.33493719316815695,0.8278592770378473,-0.3019468563184254,9
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,0,0,1,"(0.545, 0.615]","(0.48, 0.65]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.6995559409934119,0.7602275353903025,0.46991886517771103,0.35995132734042684,0.7548409781994037,0.2668591531260416,0.0006105589857171775,-0.6125022526851688,9
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,0,0,1,"(0.545, 0.615]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.6995559409934119,0.7602275353903025,0.11446017150465632,1.002530307382226,1.8827187622710624,0.38939962520184923,0.3229152543307029,-0.3019468563184254,9
M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.7412687014887892,0.5077465037891877,0.7068913276264143,0.4453573943080078,0.5306108024396307,0.8114834734629643,0.2047368660375417,0.008608540048318068,9
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.7412687014887892,0.5582427101094108,0.2329464027290079,0.1738881100181972,0.4409187321357216,-0.0009144710396119781,0.0006105589857171775,-0.3019468563184254,9
F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.7412687014887892,0.6592351227498564,0.3514326339533595,0.3853697996522068,0.37589198116538736,0.6117878893394258,0.31217176448587,-0.3019468563184254,9
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.7829814619841665,0.6087389164296333,-0.12251229094404618,0.3701187162651391,0.7548409781994037,0.16247282506146493,0.043584518365048654,-0.6125022526851688,9
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.0934, 0.171]","(0.234, 0.329]","(0.999, 8.0]",0.7829814619841665,0.4067540911487416,1.4178087149725231,0.04171205399694096,0.29292681613427124,-0.2732266312080732,-0.006551767577504736,-0.6125022526851688,9
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,1,0,0,"(0.615, 0.815]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.7829814619841665,0.7097313290700794,0.46991886517771103,0.5592321502647825,0.8983482906856586,0.5618639933085413,0.2835224582329827,-0.6125022526851688,9
F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",0.8246942224795438,0.7602275353903025,0.8253775588507651,1.0920033299196918,1.6607308882688872,0.8069449374601566,0.6488011129572999,-0.3019468563184254,9
M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(0.999, 8.0]",0.8246942224795438,0.7097313290700794,1.0623500212994683,0.750379062049368,1.0037364732927516,0.9748707695640407,0.3193340910490919,-0.6125022526851688,9
M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.8664069829749211,0.6087389164296333,0.3514326339533595,0.5999017059636306,1.0127056803231427,0.25778208112042617,0.32649641761231385,-0.6125022526851688,9
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.8664069829749211,0.9117161543509718,0.8253775588507651,0.8683207735760274,0.8983482906856586,1.1246424576566945,0.72400554187113,0.008608540048318068,9
F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(-0.001, 0.115]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(8.0, 9.0]",0.9081197434702983,0.8612199480307486,-2.9661818403284816,0.6487051728022483,0.6651489078954943,1.1382580656651176,0.3372399074571467,-0.3019468563184254,9
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.9498325039656756,1.063204773311641,0.5884050964020626,1.0808192021025085,1.2055436314765475,1.4423399778532329,0.8350216036010693,0.008608540048318068,9
M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.991545264461053,1.21469339227231,1.2993224837481714,1.1235222355862988,1.2705703824468817,1.01571759358931,0.9460376653310089,0.008608540048318068,9
F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,1,0,0,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.991545264461053,0.7097313290700794,0.7068913276264143,0.6039686615335154,0.7391448658962197,0.6480961773618874,0.45541829575030823,0.008608540048318068,9
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.0332580249564303,0.9117161543509718,1.1808362525238199,1.2739995916720366,1.2481473648709043,1.4196472978391945,1.3113163200553262,-0.3019468563184254,9
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",1.0332580249564303,0.9117161543509718,0.3514326339533595,0.7412284120171273,0.9050751959584514,1.1881819616960023,0.3766327035548672,0.3191639364150615,9
F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.0749707854518076,1.0127085669914178,0.8253775588507651,1.1743591802098592,1.0104633785655452,1.7237292100273094,0.8779955629804007,0.008608540048318068,9
M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(0.999, 8.0]",1.1583963064425622,1.164197185952087,0.46991886517771103,1.068618335392854,1.1920898209309612,0.875022977502272,0.7060997254630752,-0.6125022526851688,9
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,0,1,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.1583963064425622,0.9117161543509718,0.7068913276264143,0.935425540479127,1.077732431293477,0.9839478415696561,0.8457650934459021,-0.3019468563184254,9
F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.2001090669379393,0.9622123606711948,1.536294946196874,1.0716685520702678,1.095670845354259,1.088334169634233,0.7992099707849597,-0.3019468563184254,9
F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.3252473484240712,1.3156858049127562,1.773267408645577,1.7589840433807995,1.3490509439628025,1.6601897059880015,1.6622703216531993,1.2508301255152918,9
F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.3669601089194476,1.3156858049127562,0.3514326339533595,1.2536648138226125,1.169666803354984,1.1609507456791561,1.0642160536241705,-0.3019468563184254,9
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.3669601089194476,1.21469339227231,0.7068913276264143,1.455995853424382,1.93429170269581,1.50587948189254,0.9173883590781212,-0.3019468563184254,9
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.408672869414825,1.5176706301936485,1.0623500212994683,1.8352394603161397,2.340148320820999,1.714652138021694,1.404426565377211,0.008608540048318068,9
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.4503856299102023,1.6691592491543166,1.1808362525238199,2.9190831196904408,3.281915059012046,2.1367359862828086,2.8404730413032033,0.6297193327818049,9
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.5338111509009567,1.5176706301936485,0.9438637900751167,1.656293415241208,1.6674577935416801,1.8008843220750401,1.5118614638255397,0.3191639364150615,9
M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.575523911396334,1.4166782175532022,1.1808362525238199,2.373094334433406,3.064411788525066,2.0368881942210395,1.905789424802744,0.6297193327818049,9
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.575523911396334,1.2651895985925332,1.1808362525238199,1.7040801431873547,2.3580867348817813,1.1836434256931945,1.2790858505208276,0.008608540048318068,9
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.6172366718917113,1.7196554554745396,1.2993224837481714,2.5733918962502322,2.9747197182211567,2.699514450630962,2.1206592216994014,0.008608540048318068,9
F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.6172366718917113,1.4166782175532022,1.4178087149725231,2.3568265121538654,2.4231134858521153,2.599666658569193,2.006061996687851,0.008608540048318068,9
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",1.6172366718917113,1.5681668365138703,0.11446017150465632,0.7107262452429914,1.4701352388730795,0.10801039302777261,0.19399337619270882,-0.6125022526851688,9
M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.6589494323870886,0.9622123606711948,1.0623500212994683,2.319207173132431,2.9724774164635592,2.2048140263249243,1.4975368106990958,0.6297193327818049,9
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.700662192882466,1.6691592491543166,1.0623500212994683,2.1189096113156043,2.546440082519991,1.7918072500694247,1.7267312607221967,0.6297193327818049,9
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.8258004743685978,1.5681668365138703,1.773267408645577,2.223633717240139,2.3894789594881494,2.504357402510232,1.8520719755785802,0.3191639364150615,9
F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.8675132348639751,1.6186630428340933,1.6547811774212255,2.8438444416475717,3.3446995082247826,3.0580587948527693,2.174376670923566,0.3191639364150615,9
F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.9092259953593522,2.1741213123565473,1.6547811774212255,3.390849965797077,3.737102315804385,2.9990578268162698,3.1305472671136902,0.3191639364150615,9
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.9092259953593522,1.7196554554745396,1.536294946196874,2.37716129000329,2.091252825727651,1.9869642981901554,2.532492999084661,0.008608540048318068,9
F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",2.1177897978362386,2.2246175186767703,1.773267408645577,3.699938589108323,5.044364240483862,2.8674402827348464,2.468032060015664,0.3191639364150615,9
I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,0,1,0,"(0.074, 0.45]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-2.8460287011136542,-0.35068900365460376,-0.4779709846171009,-0.7584614543778943,-0.7497435011486734,-0.7089260874776112,-0.6547423215490873,-1.2336130454186558,9
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.30376281467375,-2.2695448438230783,-1.781319528084967,-1.5637186572150856,-1.4964299864287178,-1.5304011039858025,-1.5679389583598804,-1.5441684417853991,9
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.30376281467375,-2.2190486375028553,-1.781319528084967,-1.5332164904409495,-1.4538262530343609,-1.5213240319801875,-1.5500331419518256,-1.5441684417853991,9
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.8449224492246004,-1.9665676059017403,-1.781319528084967,-1.4844130236023318,-1.4314032354583834,-1.4714001359493027,-1.4569228966299408,-1.5441684417853991,9
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.336, 0.502]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.803209688729223,-1.8655751932612943,-1.6628332968606154,-1.4884799791722165,0.3220767389830418,-1.5213240319801875,-1.442598243503497,-1.5441684417853991,9
I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.7614969282338457,-1.815078986941071,-1.4258608344119126,-1.4234086900540597,-1.3843148985488312,-1.3760908798903413,-1.4103677739689986,-1.5441684417853991,9
I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6780714072430911,-1.8655751932612943,-1.5443470656362641,-1.4203584733766461,-1.3753456915184403,-1.3670138078847258,-1.0844819153424017,-1.2336130454186558,9
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6363586467477138,-1.6130941616601793,-1.0704021407388582,-1.2790317673231493,-1.1712962315770468,-1.2989357678426106,-1.356650324744834,-0.9230576490519122,9
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6363586467477138,-2.0675600185421863,-1.0704021407388582,-1.3786721787853269,-1.2834113194569332,-1.3670138078847258,-1.4175301005322205,-1.5441684417853991,9
I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.5946458862523365,-1.6635903679804023,-1.1888883719632097,-1.293266111817746,-1.1982038526682195,-1.289858695836995,-1.385299630997722,-0.9230576490519122,9
I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.5112203652615825,-1.562597955339956,-1.0704021407388582,-1.307500456312343,-1.2138999649714035,-1.321628447856649,-1.3351633450551683,-1.2336130454186558,9
