Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,0,0,1,"(0.545, 0.615]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.7130185917173241,0.7751158820560275,0.14178448703270397,1.0114211428855988,1.87789489317352,0.4007360049322629,0.33918736811280864,-0.2930367881835652,9
0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.7130185917173241,0.6239807176516354,0.6522697214434009,0.4470588065226819,0.6094487349050062,0.5503422510299826,0.19943376860440684,-0.2930367881835652,9
0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.754600148344758,0.5232239413820412,0.7798910300460751,0.4561777670743268,0.5360123783736711,0.8223536075712916,0.22093432237493027,0.018845409491588694,9
0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.754600148344758,0.5736023295168386,0.2694057956353782,0.18564860404219252,0.44699861288114406,0.01085306055638698,0.016679061554957797,-0.2930367881835652,9
0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.754600148344758,0.6743591057864329,0.39702710423805243,0.3963979145690984,0.3824636328990617,0.6228786127743317,0.32843709122754694,-0.2930367881835652,9
0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.7961817049721918,0.6239807176516354,-0.11345813017264376,0.3811996469830238,0.7585467921049893,0.17405987448117236,0.05968016909600463,-0.6049189858587191,9
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.0934, 0.171]","(0.234, 0.329]","(0.999, 8.0]",0.7961817049721918,0.4224671651124465,1.5456188816621197,0.05393028496287605,0.30012589981847393,-0.26115829598492174,0.00951221029811666,-0.6049189858587191,9
0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",0.8377632615996256,0.7751158820560275,0.9075123386487486,1.1005843127239054,1.6575858235795151,0.8178200849622698,0.6652791002990804,-0.2930367881835652,9
0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(0.999, 8.0]",0.8377632615996256,0.7247374939212302,1.162754955854097,0.7601431187958259,1.0055599913467523,0.9855604214960765,0.3356039424843881,-0.6049189858587191,9
0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,0,0,1,"(0.615, 0.815]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",0.8793448182270593,0.6239807176516354,0.39702710423805243,0.6101868786132199,1.014461367896005,0.26926384927063024,0.3427707937412292,-0.6049189858587191,9
0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.8793448182270593,0.9262510464604198,0.9075123386487486,0.877676388128139,0.900968816893033,1.1351666675937964,0.7405310384959124,0.018845409491588694,9
0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.962507931481927,1.0773862108648118,0.6522697214434009,1.089438916494117,1.205840963704939,1.4525132502253235,0.8516172329769497,0.018845409491588694,9
0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.004089488109361,1.2285213752692041,1.4179975730594454,1.1319940657351266,1.270375943687021,1.0263621249772727,0.9627034274579873,0.018845409491588694,9
0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,1,0,0,"(0.615, 0.815]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",1.004089488109361,0.7247374939212302,0.7798910300460751,0.6142397499695066,0.7429693831437972,0.6591467936465062,0.4717741163643697,0.018845409491588694,9
0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.0456710447367947,0.9262510464604198,1.2903762644567713,1.281950305917733,1.248122502313889,1.4298456371802144,1.328212841556885,-0.2930367881835652,9
0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.0872526013642285,1.0773862108648118,0.5246484128407266,0.9698792114836606,0.8542365900094564,1.7018569937215229,0.7584481666380148,0.3307276071667426,9
0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.0872526013642285,1.0270078227300146,0.9075123386487486,1.1826549576887102,1.0122360237586923,1.7335916519846757,0.8946183405179965,0.018845409491588694,9
0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.1288341579916623,1.2285213752692041,1.162754955854097,1.0428308958968207,0.8230817720870719,0.8087530397442261,1.6973056812842033,0.3307276071667426,9
0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(0.999, 8.0]",1.170415714619096,1.1781429871344067,0.5246484128407266,1.0772803024252569,1.1924888988810598,0.885822924097597,0.7226139103538096,-0.6049189858587191,9
0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.21199727124653,0.9766294345952171,1.6732401902647933,1.080319955942472,1.0967991009765932,1.0988984867216218,0.815782976692744,-0.2930367881835652,9
0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.3367419411288315,1.3292781515387988,1.9284828074701417,1.7652552151549168,1.3482629884929827,1.6701223354583703,1.6793885531421004,1.2663742001922043,9
0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.3367419411288315,1.1277645989996092,0.6522697214434009,1.393404268215616,1.504037078104905,1.6973234711125011,1.1526249857642776,0.018845409491588694,9
0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.3783234977562644,1.3292781515387988,0.39702710423805243,1.2616859491362997,1.1702354575079281,1.171434848465971,1.080956473195866,-0.2930367881835652,9
0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.3783234977562644,1.2285213752692041,1.8008614988674674,1.5230961516167891,1.6664872001287678,2.0282706215710937,1.0558724937969222,0.6426098048418964,9
0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.3783234977562644,1.2285213752692041,0.7798910300460751,1.4633162991115614,1.929077808331723,1.5159825667516285,0.9340360224306228,-0.2930367881835652,9
0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.461486611011132,1.5811700922127845,1.0351336472514228,1.8635373455448683,2.3763719799316725,1.3981109789170618,1.4823001435789696,-0.2930367881835652,9
0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.461486611011132,1.6819268684823794,1.2903762644567713,2.9213367695356864,3.2665096348569453,2.1461422094056606,2.858335584892467,0.6426098048418964,9
0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(8.0, 9.0]",1.461486611011132,1.1781429871344067,1.2903762644567713,1.6517748171788909,2.196119104809305,1.139700190202818,1.149041560135857,-0.2930367881835652,9
0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",1.5030681676385658,1.4300349278083935,0.7798910300460751,0.7854735647726179,1.2392211257646364,0.4959399797217208,0.4431067113370052,-0.2930367881835652,9
0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.5446497242659998,1.5307917040779884,1.0351336472514228,1.6629202134086787,1.6642618559914544,1.8106615363380465,1.528884676748437,0.3307276071667426,9
0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.5862312808934336,1.4300349278083935,1.2903762644567713,2.3772387899542027,3.0506512535375667,2.0464047120071807,1.9230614958746988,0.6426098048418964,9
0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.5862312808934336,1.2788997634040014,1.2903762644567713,1.710541451845047,2.3496678502839146,1.19410246151108,1.2959620109010999,0.018845409491588694,9
0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.6278128375208674,1.7323052566171768,1.4179975730594454,2.576842704251321,2.961637488045039,2.7082990129243654,2.138067033579933,0.018845409491588694,9
0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.6278128375208674,1.4300349278083935,1.5456188816621197,2.3610273045290553,2.4142028302659964,2.6085615155258854,2.023397413470475,0.018845409491588694,9
0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",1.6278128375208674,1.5811700922127845,0.14178448703270397,0.7206276230720312,1.4684315719078942,0.11965760317291056,0.21018404548966854,-0.6049189858587191,9
0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.6693943941483012,0.9766294345952171,1.162754955854097,2.323538244483404,2.959412143907726,2.2141450485409875,1.5145509742347547,0.6426098048418964,9
0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.710975950775735,1.6819268684823794,1.162754955854097,2.1239343301862856,2.536596757818222,1.8015944911200028,1.7438902144536708,0.6426098048418964,9
0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.7525575074031687,1.782683644751974,1.162754955854097,2.6193978534923303,2.630061211585375,3.3429921781874197,1.8693101114483905,0.3307276071667426,9
0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.8357206206580365,1.5811700922127845,1.9284828074701417,2.228295767610668,2.380822668206299,2.5133575407364277,1.8693101114483905,0.3307276071667426,9
0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.8773021772854703,1.631548480347582,1.8008614988674674,2.8463586494443835,3.328819270701714,3.066447299037088,2.1918184180062417,0.3307276071667426,9
0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.9188837339129041,2.185710749830353,1.8008614988674674,3.391469846864938,3.7182544947315206,3.007511505119805,3.148593060794533,0.3307276071667426,9
0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.9188837339129041,1.7323052566171768,1.6732401902647933,2.381291661310489,2.0848518979436457,1.996535963307941,2.550160980848298,0.018845409491588694,9
0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",2.1267915170500733,2.2360891379651506,1.9284828074701417,3.699488069942724,5.015630126785106,2.876039349458172,2.485659319536728,0.3307276071667426,9
0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.3224350420853423,-2.046073853492623,-2.0277777592127557,-1.5297291975061351,-1.4556706245216262,-1.5169440586839635,-1.5600282149500915,-1.8524477765593348,9
0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.2808534854579086,-2.2475874060318124,-1.9001564506100814,-1.5459406829312818,-1.4756987217574453,-1.5169440586839635,-1.5528613636932502,-1.5405655788841808,9
0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.2808534854579086,-2.197209017897015,-1.9001564506100814,-1.5155441477591318,-1.4334171831484948,-1.5078770134659203,-1.5349442355511473,-1.5405655788841808,9
0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.0729457023207396,-2.1468306297622175,-1.262049907596711,-1.4567775130929752,-1.364431514891786,-1.3764048578042876,-1.4596922973543154,-1.228683381209027,9
0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.8234563625561369,-1.9453170772230284,-1.9001564506100814,-1.4669096914836919,-1.4111637417753629,-1.45800826476668,-1.4417751692122125,-1.5405655788841808,9
0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.336, 0.502]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.781874805928703,-1.8445603009534337,-1.7725351420074074,-1.4709625628399785,0.3290553736035453,-1.5078770134659203,-1.4274414666985302,-1.5405655788841808,9
0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.7402932493012693,-1.7941819128186363,-1.5172925248020592,-1.406116621139392,-1.364431514891786,-1.3628042899772221,-1.3951906360427453,-1.5405655788841808,9
0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6571301360464017,-1.8445603009534337,-1.6449138334047333,-1.403076967622177,-1.3555301383425333,-1.3537372447591784,-1.0690989038564738,-1.228683381209027,9
0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.615548579418968,-1.5926683602794471,-1.1344285989940368,-1.2622396879912157,-1.153023821847034,-1.285734405623851,-1.3414392516164368,-0.916801183533873,9
0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.615548579418968,-2.046073853492623,-1.1344285989940368,-1.361535036220239,-1.2642910287126927,-1.3537372447591784,-1.4023574872995865,-1.5405655788841808,9
0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.5739670227915339,-1.6430467484142444,-1.262049907596711,-1.276424737738219,-1.179727951494792,-1.2766673604058076,-1.3701066566438014,-0.916801183533873,9
0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.5323854661641,-1.5926683602794471,-1.262049907596711,-1.322019540496444,-1.2620656845753795,-1.3446701995411348,-1.3199386978459133,-1.228683381209027,9
0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.4908039095366667,-1.5422899721446497,-1.1344285989940368,-1.2906097874852223,-1.195305360455984,-1.3084020186689602,-1.3199386978459133,-1.228683381209027,9
0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.4908039095366667,-1.5422899721446497,-1.389671216199385,-1.2784511734163624,-1.1396717570231547,-1.3084020186689602,-1.3557729541301191,-1.5405655788841808,9
0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.449222352909233,-1.3911548077402576,-1.6449138334047333,-1.2490678560832842,-1.1619251983962866,-1.317469063887004,-1.248270185277502,-1.228683381209027,9
0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.449222352909233,-1.5422899721446497,-1.262049907596711,-1.3230327583355157,-1.2264601783783686,-1.3673378125862439,-1.3378558259880162,-0.6049189858587191,9
0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.3660592396543654,-1.3911548077402576,-1.389671216199385,-1.2875701339680072,-1.217558801829116,-1.3265361091050476,-1.2554370365343432,-1.8524477765593348,9
0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.3244776830269316,-1.3911548077402576,-1.389671216199385,-1.3047948372322258,-1.2464882756141873,-1.2630667925787422,-1.29843814407539,-1.228683381209027,9
0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.3244776830269316,-1.441533195875055,-1.389671216199385,-1.2531207274395708,-1.1864039839067313,-1.1995974760524366,-1.2841044415617078,-0.916801183533873,9
0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2828961263994976,-1.1896412552010687,-1.262049907596711,-1.1892880035780558,-1.2108827694171767,-1.049991229954717,-1.1766016727090907,-0.916801183533873,9
0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2828961263994976,-1.2903980314706627,-1.389671216199385,-1.2450149847269976,-1.119643659787336,-1.3265361091050476,-1.2697707390480255,-1.228683381209027,9
0.375,0.29,0.095,0.213,0.096,0.041,0.061,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2413145697720638,-1.1896412552010687,-1.1344285989940368,-1.2531207274395708,-1.179727951494792,-1.2721338377967857,-1.2769375903048665,-1.5405655788841808,9
0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2413145697720638,-1.1896412552010687,-1.389671216199385,-1.2014466176469158,-1.081812809453012,-1.2358656569246111,-1.2160193546217168,-0.916801183533873,9
0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2413145697720638,-1.2903980314706627,-1.5172925248020592,-1.2743983020600758,-1.2398122432022478,-1.2086645212704803,-1.248270185277502,-0.6049189858587191,9
